,Time,User,Tweet,Analysis
0,2022-10-31 21:35:58+00:00,glenesis,"RT @terronk: Twitter laid me off today. If you know of any open positions for engineering managers or software engineers, let me know. I wa…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,2022-10-31 21:35:57+00:00,GeniusTrader777,$TSLA 🧐 https://t.co/I7xwtuctkl,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
2,2022-10-31 21:35:49+00:00,Kashayap12,"**Most profitable trading community. Get up to 574% profits
https://t.co/a0PYshZqXH
$SPY $QQQ $AMZN $NVDA $BA $TSLA $BABA $AMD $AAPL $BCH https://t.co/vuEPKjqrE6","{'neg': 0.0, 'neu': 0.757, 'pos': 0.243, 'compound': 0.7264}"
3,2022-10-31 21:35:44+00:00,RonBurg26977072,RT @MagnificentAnsw: @RonBurg26977072 @NotFeuerstein @pei_guy77 @LogarithmicDis Don't shorts know that TWTR has the IP addresses &amp; would ha…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4,2022-10-31 21:35:38+00:00,EllaDavila6,"$TSLA '''Top analyst price target for next week '''
https://t.co/kJSoW8zWCA","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}"
5,2022-10-31 21:35:32+00:00,Smith28301,"**Most profitable trading community. Get up to 574% profits
https://t.co/ZBTRgq0AN6

$SPY $QQQ $AMZN $NVDA $BA $TSLA $BABA $AMD https://t.co/AkLzIcF4ts","{'neg': 0.0, 'neu': 0.736, 'pos': 0.264, 'compound': 0.7264}"
6,2022-10-31 21:35:26+00:00,macronewswire,"ELON MUSK IS THE CHIEF EXECUTIVE OFFICER OF THE POST-MERGER COMPANY AFTER TWITTER DEAL - FILING
$TSLA $TWTR","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,2022-10-31 21:35:22+00:00,EllaDavila6,"$tsla '''Top analyst price target for next week '''
https://t.co/kJSoW8zWCA","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}"
8,2022-10-31 21:35:05+00:00,MagnificentAnsw,"@RonBurg26977072 @NotFeuerstein @pei_guy77 @LogarithmicDis Don't shorts know that TWTR has the IP addresses &amp; would have to provide in a subpoena? Right, Chief Twit @elonmusk?

BTW, Elon, you can now find IP addresses of accts who bashed $TSLA, too, &amp; link them to owners.

They can run, but they can't hide.

$SAVA #Bullish In my opinion","{'neg': 0.0, 'neu': 0.963, 'pos': 0.037, 'compound': 0.2817}"
9,2022-10-31 21:34:38+00:00,Smith28301,"$SPY $SPX $QQQ $ES_F $NQ_F $RTY_F $ZB_F $GC_F $NDX $RUT $AAPL $NFLX $AMZN $TSLA $FB $MSFT $DIA $NDX $IWM $QCOM $GDX $DAX $ABOC $TWTR $GLD $SLV $BCZAX $AXYS $BPS 
To enhance your experience in trading and get instant help click here https://t.co/ZBTRgq0AN6 https://t.co/yzpwYZubIU","{'neg': 0.0, 'neu': 0.94, 'pos': 0.06, 'compound': 0.4019}"
10,2022-10-31 21:34:19+00:00,Richardsscrypto,"$ETH  TOP analysis price target for next week..🙏 https://t.co/sNRg9LsXGN
 $LUNC  $OGN $BTC  $TSLA  $COMP  $SAND $GMT $RUNE $SOL $U $MATIC $ATOM $EGLD $SPY $XRP $GL $Y $TA $L $HATI $CAW $AMC $AAVE https://t.co/1gzAstfL5T","{'neg': 0.0, 'neu': 0.931, 'pos': 0.069, 'compound': 0.368}"
11,2022-10-31 21:34:10+00:00,lazbaztheborre,"RT @tslatalk: According to my model, $TSLA is trading at a forward PE of ~21. 

According to analysts it’s trading at a forward PE of 42…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
12,2022-10-31 21:33:55+00:00,furualerts,"Furu MrMikeInvesting just tweeted about $TSLA at price $227.61 with 59 other furus. 

Stop losing money. Crysp is the first investment app that hedges your stocks with short positions. Download the app: https://t.co/nsYkPvlVOr https://t.co/SiZvm7YprC https://t.co/8AbyFAKt1i","{'neg': 0.127, 'neu': 0.873, 'pos': 0.0, 'compound': -0.5859}"
13,2022-10-31 21:33:49+00:00,Smith28301,"Xtrader Trades discord! 100% free!

Chatroom:https://t.co/ZBTRgq0AN6

$TSLA $DSA $KODK $DOW  $TRIP $BYND $MRNA $NOK $OXY $PSV $CRM $DGLY $IGC https://t.co/RBMs7n337X","{'neg': 0.11, 'neu': 0.732, 'pos': 0.158, 'compound': 0.2924}"
14,2022-10-31 21:33:48+00:00,Alejandra76vale,"RT @Haba_Mayo: No obstante, Sr. Guadaña @BitacoraBolsa 
Faltan Guadañazos, pues $AAPL y $TSLA aguantan. 
Mira a ver si aprietas el acelerad…","{'neg': 0.099, 'neu': 0.901, 'pos': 0.0, 'compound': -0.296}"
15,2022-10-31 21:33:28+00:00,Smith28301,"Free entry &amp; exit alerts daily!
Chatroom link below!

https://t.co/ZBTRgq0AN6

$RAVE $BOXL $GENE $OGEN $XSPA $CEMI $UAVS $TSLA $UONE $GNUS $JAKK $MARK $XELA $SINT $FRSX $BGG $IDEX $NOVN $OMI $TELL $JE $BNGO $ABUS  $BNGO $ABUS $ADMP https://t.co/V5xUT58H4t","{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.5972}"
16,2022-10-31 21:33:25+00:00,Kashayap12,"I've  made 36k  with them . If you really want to make a huge profit on trading .... Choose this professional chat:  
https://t.co/a0PYshZqXH
$TSLA $NKLA $ROKU $AAPL $JPM $AMZN $MSFT $ZM $FB $NVDA $ETC https://t.co/qI5P6OiVWF","{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.6997}"
17,2022-10-31 21:33:16+00:00,glen1macdonald,"@elonmusk And if I had LOST a dollar for every time you felt compelled to tweet about issues far outside your wheelhouse, I’d have lost a million dollars in $TSLA.  Oh wait…","{'neg': 0.15, 'neu': 0.816, 'pos': 0.034, 'compound': -0.6289}"
18,2022-10-31 21:33:15+00:00,YevP,"Like, if I was a @Tesla shareholder or board member, I’d be annoyed that resources are getting funneled to @Twitter instead of working to build value for $TSLA.

Especially since this wasn’t an M&amp;A purchase.","{'neg': 0.066, 'neu': 0.783, 'pos': 0.152, 'compound': 0.34}"
19,2022-10-31 21:33:04+00:00,WWong2022,"I would cancel my @netflix subscription to pay the $20/month...

What other services and subscriptions would you cancel? @disney @hbo @adobe @uber @grubhub???

Every company has been put on notice and didn't even realize it....

@elonmusk 

@garyblack00 @DivesTech @Tesla $TSLA","{'neg': 0.147, 'neu': 0.853, 'pos': 0.0, 'compound': -0.6553}"
20,2022-10-31 21:32:56+00:00,Nielo_Gan,I don't think lot of people are aware of Tesla $TSLA stock split 😂😂,"{'neg': 0.125, 'neu': 0.625, 'pos': 0.25, 'compound': 0.7003}"
21,2022-10-31 21:32:36+00:00,Smith28301,"Over 80k+ people. Join now
Discord group👇

https://t.co/ZBTRgq0AN6

$CGM $APT $JAKK $DYNT $SPV $LMND $GNUS $GRAF  $CLSN $CHFS $MARK $SHLO $NIO $DLPN $WKHS $CARV $SPY $SOLO $W $JAGX $INO  $BYFC $TSLA $SPY $BOXL $AAPL $AYRO $BNGO $PHUN https://t.co/SZDBawtzDk","{'neg': 0.06, 'neu': 0.891, 'pos': 0.049, 'compound': -0.128}"
22,2022-10-31 21:32:20+00:00,Jim_Talks,"Wonder how much they paid @lorakolodny and ⁦@CNBC⁩ to run this hit piece! #FakeNews by CNBS

$TSLA 🚀🚀💯🍻👍 https://t.co/XgNMgVS4Pv","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
23,2022-10-31 21:32:09+00:00,RRli18,"#TopNews
#Manufacturing 
#Neutral
$TSLA $UBER $PYPL 
2022/11/01 06:03
Elon Musk has pulled more than 50 Tesla employees into his Twitter takeover
https://t.co/v61zg4PPo6","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
24,2022-10-31 21:32:05+00:00,Dowstrademus,"$KGJI $NBEV $NCACW $OLITW $PBAXW $GMFIW $NPABW $TSLA $SPY $AAPL $GME $AMC - Get the Alert before the Move Automate, Sleep &amp; Earn with DRAT Smart Trader. Plan your trade.
https://t.co/yfMiXhVZqC
#dowstrademus #trading #stocks #option #options #DraTalerts #smarttrader https://t.co/cqxDNepc7P","{'neg': 0.0, 'neu': 0.883, 'pos': 0.117, 'compound': 0.5994}"
25,2022-10-31 21:32:05+00:00,EllaDavila6,"$tsla ALL THESE LEVELS POSTED AHEAD OF TIME BEFORE THE MARKET OPENED
https://t.co/rIgUWNhRRi","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
26,2022-10-31 21:32:00+00:00,Smith28301,"If you’re interested in day trading Stock and Option, You can check this chatroom&gt;https://t.co/ZBTRgpIZow

$KNDI $MICT $INO $AAPL $SRNE $NIO $CODX $ECOR $MRNA $F $SPY $QQQ $V $WMT $TA $TSLA $BA $MU $NKLA $STC  $FORD $NBY $MICT $SRNE $D $REDU $PT $WMT $GRNQ $NVDA $AMZN https://t.co/cenQBnmpDa","{'neg': 0.0, 'neu': 0.943, 'pos': 0.057, 'compound': 0.4019}"
27,2022-10-31 21:32:00+00:00,nachoww3,"@Mr_Drone $tsla positivo, hace rato q muestra fortaleza","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
28,2022-10-31 21:31:43+00:00,Tiger01255,"Get instant updates and free trials join here https://t.co/rFUdY4OUr5

$AMC $GME $NOK  $SPY $RH $BB $RKT $AAPL $AAL $NAKD $SOL $DAL $M $TSLA $SLV $X $FB $PT $NIO $KOSS $QQQ $TWTR $AMZN $GOOG $SDIG https://t.co/awL8sxHtZU","{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.6705}"
29,2022-10-31 21:31:35+00:00,TechmemeChatter,"RT @YevP: It’s so weird to me that this is happening.

Bringing in Tesla engineers to overlook Twitter is more of a merger, less of a “purc…","{'neg': 0.079, 'neu': 0.921, 'pos': 0.0, 'compound': -0.3052}"
30,2022-10-31 21:31:29+00:00,Smith28301,"Follow us to get instant updates and free trading analysis https://t.co/ZBTRgq0AN6

$SPY $NDX $IWM $QQQ $BTC $ETH $AAPL $TSLA $AMC $ROKU $AFRM $MRNA $NURO $AMD $NVDA https://t.co/5wfz3SdM37","{'neg': 0.0, 'neu': 0.887, 'pos': 0.113, 'compound': 0.5106}"
31,2022-10-31 21:31:12+00:00,Smith28301,"S$AAPL $GOOG $GLD $QQQ $SPY $VFF $TLRY $KBH $LEN $GE $T $F $GM $TSLA $HTSC $GRNF $MTCH $RIOT $MARA $IRRZF $KOAN $INTC $IBO

Best discord group for the traders join here https://t.co/ZBTRgq0AN6 https://t.co/sR6FM2oPzI","{'neg': 0.166, 'neu': 0.683, 'pos': 0.151, 'compound': -0.1613}"
32,2022-10-31 21:30:55+00:00,Tiger01255,"Only in our Discord!! No body does it like  us join here 
https://t.co/rFUdY4OUr5

$AAPL $AMZN $SPCE $MELI $GOOGL $TWTR $FB $NIO $DOCU $RKT $FUBO $SHOP $WMT $MCD $DIS $MSFT $AMD $TSLA $ZM $SBUX $SNAP $MA $V $BA $CCL $RCL $QS $BKNG $RKT $LRCX $NNOX $SPY $IWM $NOW $SE $GS $BAC https://t.co/fgx0daVch3","{'neg': 0.096, 'neu': 0.822, 'pos': 0.082, 'compound': -0.1984}"
33,2022-10-31 21:30:36+00:00,nancylevine,RT @nancylevine: @elonmusk @paulg And NYT reported on your deleted conspiracy theory tweet about Paul Pelosi. And you called NYT ‘fake.’ So…,"{'neg': 0.139, 'neu': 0.861, 'pos': 0.0, 'compound': -0.5267}"
34,2022-10-31 21:30:32+00:00,JoTrader4,I know lots of good people in place but the statement is hard not to regard as fact at this point that $TWTR is definitely distracting Elon from $TSLA. With other resources temp being pulled from TSLA itself I hope it does not become a TSLA distraction also. https://t.co/Da8W2twPcK,"{'neg': 0.13, 'neu': 0.715, 'pos': 0.155, 'compound': 0.3716}"
35,2022-10-31 21:30:32+00:00,nancylevine,@elonmusk @paulg And NYT reported on your deleted conspiracy theory tweet about Paul Pelosi. And you called NYT ‘fake.’ So Elon Musk isn’t arbiter of journalism. #BoycottTwitterAdvertisers #BoycottTesla $TSLA https://t.co/QrfDJVJayn,"{'neg': 0.105, 'neu': 0.895, 'pos': 0.0, 'compound': -0.5267}"
36,2022-10-31 21:30:30+00:00,Smith28301,"$NET
#Winner 💸💰💸
https://t.co/ZBTRgq0AN6
$NET gave us a nice pullback, on today 

$SPY $NDX $IWM $QQQ $BTC $ETH $AAPL $TSLA  $UPST $AMZN $AMD $PTON https://t.co/Jfh5NfzMFv","{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.765}"
37,2022-10-31 21:30:27+00:00,ArmandVervaeck,RT @GerberKawasaki: Solar power is the best! $spwr $sedg $nee $enph $gk $tsla #tesla,"{'neg': 0.0, 'neu': 0.743, 'pos': 0.257, 'compound': 0.6696}"
38,2022-10-31 21:30:23+00:00,InvestmentSwami,RT @InvestmentSwami: 💯🚀💯👳‍♂️MMTLP👳‍♂️💯🚀💯 $MMTLP $MMAT $MULN $BBIG $CGC $TLRY $ACB $GETY $TAL $PEGY $LU $APE $BBBY $RMSL $REV $GOEV $XELA $T…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
39,2022-10-31 21:30:21+00:00,hkinvestmentbot,"$NVDA: 135.0[1514 -91.1%] × 250 = $265K [-$2.71M] 1%
$QCOM: 117.7[149.5 -21.3%] × 500 = $462K [-$125K] 1%
$RCL: 53.38[449.7 -88.1%] × 50.0 = $20.9K [-$156K] 0%
$RKLB: 5.09[49.12 -89.6%] × 10.0K = $400K [-$3.46M] 1%
$TSLA: 227.5[208.6 +9.1%] × 250 = $447K [+$37.2K] 1%","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
40,2022-10-31 21:30:13+00:00,Smith28301,"“Invest in what you consume” - Sha Osman
https://t.co/ZBTRgq0AN6

$LCID $AMZN $MSFT $HCMC $AAPL $SPY $TSLA https://t.co/hoVKFnMYMW","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
41,2022-10-31 21:30:06+00:00,DasFintechBot,"RT @thuhkang: Today's Most Active Puts... 

$TSLA $META $AAPL $AMZN $HD

👉https://t.co/2s8fBQeg5O

#options #stockmarket #wallstreet #nasda…","{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.4576}"
42,2022-10-31 21:30:04+00:00,Em34287682,"RT @WholeMarsBlog: Andrej @Karpathy on the massive potential of Tesla and why he may be interested in returning for an ""Act 2"" 

$TSLA @elo…","{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.4019}"
43,2022-10-31 21:30:03+00:00,dratindexoption,$KGJI $NBEV $NCACW Put your portfolio on the right path with our #stocks trade alerts. Try it now for 14 days. No credit card required. #FinTwit #trading $TSLA $GME $AMZN https://t.co/WS6dUMPRGp,"{'neg': 0.068, 'neu': 0.932, 'pos': 0.0, 'compound': -0.2924}"
44,2022-10-31 21:30:02+00:00,Dowstrademus,$KGJI $NBEV $NCACW Put your portfolio on the right path with our #stocks trade alerts. Try it now for 14 days. No credit card required. #FinTwit #trading $TSLA $GME $AMZN https://t.co/AOnC7wMwmq,"{'neg': 0.068, 'neu': 0.932, 'pos': 0.0, 'compound': -0.2924}"
45,2022-10-31 21:30:02+00:00,DraTalerts,$KGJI $NBEV $NCACW Put your portfolio on the right path with our #stocks trade alerts. Try it now for 14 days. No credit card required. #FinTwit #trading $TSLA $GME $AMZN https://t.co/usWYH0VkLn,"{'neg': 0.068, 'neu': 0.932, 'pos': 0.0, 'compound': -0.2924}"
46,2022-10-31 21:30:01+00:00,DratSmartTrader,$KGJI $NBEV $NCACW Put your portfolio on the right path with our #stocks trade alerts. Try it now for 14 days. No credit card required. #FinTwit #trading $TSLA $GME $AMZN https://t.co/B2j9spkz6w,"{'neg': 0.068, 'neu': 0.932, 'pos': 0.0, 'compound': -0.2924}"
47,2022-10-31 21:30:00+00:00,thuhkang,"Today's Most Active Puts... 

$TSLA $META $AAPL $AMZN $HD

👉https://t.co/2s8fBQeg5O

#options #stockmarket #wallstreet #nasdaq #nyse #fintech #blackboxPuts https://t.co/X5073sQFoG","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.4576}"
48,2022-10-31 21:29:59+00:00,hrtvdynai95504,"What does FOMC bring
$spy $spx $qqq $aapl $tsla #DowJones #stocks #aaple #spy #spx #qqq #oil #recession https://t.co/Jt5DIZ1FeS","{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.4215}"
49,2022-10-31 21:29:57+00:00,GoodNewsStock,"@CNBCFastMoney @davidriedel If you want a more fair &amp; balanced understanding of China please dont use CNBC &amp; everyone on FM should also watch these videos so they cant stop being so biased &amp; wrong
Guy is right, If China falls US stocks like $aapl $tsla, $wmt, $nke would all get hit

https://t.co/YmCHL12oGt","{'neg': 0.092, 'neu': 0.735, 'pos': 0.173, 'compound': 0.4745}"
50,2022-10-31 21:29:53+00:00,daniedorn,"Week 44 - sold small positions, added proceeds to $META

$META 25.5%
$DDOG 8.6%
$MNDY 8.1%
$NET 8.1%
$TSLA 6.9%
$GTLB 5.2%
$TEAM 4.6%
$HUBS 4.5%
$MDB 4.2%
$SQ 3.7%
$NVDA 3.1%
$COIN 2.5%
$U 2.5%
$ZS 2.3%
$TSM 2.3%
$INTC 2.2%

Porto YTD +0.7%
$SPY YTD (18.7)%
$NDAQ YTD (29.9)% https://t.co/tJHtJL1K8G","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
51,2022-10-31 21:29:20+00:00,Smith28301,"$AAPL Trade idea💡
https://t.co/ZBTRgq0AN6

$AMC $SPY $GME $QQQ $MU $MSFT $AMD $PTON $AMZN $CRM $XLF $XLE $TSLA $AAL https://t.co/lcFvLI4OjN","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
52,2022-10-31 21:29:09+00:00,Sciences2Day,"RT @Teslaconomics: Whattttttttt!!! 👀 

Let’s go see it, can’t wait! 🚀

If this goes as planned it will be history in the making. 💫 

$TSLA…","{'neg': 0.113, 'neu': 0.887, 'pos': 0.0, 'compound': -0.471}"
53,2022-10-31 21:29:03+00:00,Smith28301,"80k+ members
Do join=&gt;https://t.co/ZBTRgq0AN6
 one of the largest stocks and options trading communities with real traders providing analysis.

$NVDA $TSLA $NDX $SPY $AAPL $BABA $NFLX $ROKU $BA $COST $MCD $WMT $FB $VIX $ES https://t.co/yTH74Un6mO","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
54,2022-10-31 21:29:00+00:00,tenDAYswings,$LVS $TSLA $XLY big money counting on consumer discretionary https://t.co/vZWAvmeI7r,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
55,2022-10-31 21:28:57+00:00,mbojorquezpi,RT @3PeaksTrading: $TSLA also seasonally has had its best strength in November with 67% of time higher for an average gain in the month of…,"{'neg': 0.0, 'neu': 0.671, 'pos': 0.329, 'compound': 0.8957}"
56,2022-10-31 21:28:42+00:00,Smith28301,"Real-time trading alerts from our team of seasoned professionals, best trading room and global trading community. Check out today...https://t.co/ZBTRgq0AN6

$SPY $QQQ $AMZN $NVDA $BA $TSLA $BABA $AMD $AAPL $NFLX $TWTR $AAL $FB $USO $DAL $TWLO $UBER $UGAZ $DIS $ROKU $TVIX $CRON https://t.co/fSQ5CBqypE","{'neg': 0.0, 'neu': 0.907, 'pos': 0.093, 'compound': 0.6369}"
57,2022-10-31 21:28:13+00:00,patrickcomack,@mchooyah @elonmusk Musk is a @CIA agent $TSLA $TSLAQ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
58,2022-10-31 21:28:07+00:00,BLL_1973,RT @Umbisam: I suggest the whole $TSLA community to stop talking Twitter. Let’s put it behind us. It’s going to be a private affair for a f…,"{'neg': 0.078, 'neu': 0.922, 'pos': 0.0, 'compound': -0.296}"
